arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
7,8,14,マイネルスタイル,2017101923,牡,4,56,左海誠二,1:45.0,2.1/2,11-11-8-8,41.4,38.6,11,484,+2,[地]橋本和馬,須田靖之,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
8,6,10,ルピナスガーデン,2017102575,牝,4,54,的場文男,1:45.1,クビ,9-9-11-10,41.2,14.9,6,475,+12,[地]赤嶺本浩,（有）平野牧場,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
9,4,6,シングンバンビーナ,2017100571,牝,4,54,柴田勇真,1:45.2,1/2,14-14-14-14,40.0,53.9,12,419,+3,[地]三坂盛雄,伊坂重憲,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
10,3,3,ロイヤルシャイン,2015103274,牝,6,54,達城龍次,1:45.4,1.1/4,6-7-10-8,41.8,9.8,5,513,-3,[地]田中正人,永野雄介,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
11,5,8,ベルメーリャ,2014105300,牝,7,54,本田正重,1:45.6,3/4,10-10-6-6,42.4,32.0,8,548,+12,[地]福田真広,西村健,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
12,8,13,アナハ,2017100755,牝,4,54,遠藤健太,1:45.8,1.1/4,13-13-13-13,41.2,156.3,13,395,-12,[地]遠藤茂,（株）ファーストビ,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
13,5,7,ロックアビリティ,2017104604,牡,4,56,藤本現暉,1:45.9,クビ,3-4-7-6,42.7,38.1,9,509,-6,[地]須田和伸,中西功,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
14,7,12,カシノメガミ,2017100138,牝,4,54,山崎良,1:46.9,5,4-5-9-12,43.4,166.6,14,444,-1,[地]三坂盛雄,柏木務,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
1,4,6,アタゴタイゼン,2014106540,牡,7,56,笹川翼,1:29.7,,6-3-3,38.7,3.2,2,484,-1,[地]渡部則夫,大志総合企画（株）,100.0,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
2,3,4,アルトゥーロ,2017104257,牡,4,56,松崎正泰,1:29.8,1/2,7-9-7,38.2,46.3,8,459,+15,[地]高野毅,清水敏,40.0,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
